sentimento,comentarios
positive,recebi jogo toalhas vermelhas
negative,acredito problema correios mas fornecedor não entra contato resolver questão
neutral,gosto comprar praticidade fidelidade cartão desconto
positive,produto chegou antes prazo cumpre bem função
positive,parabéns pra vc cumprir tudo praso certo
positive,ótimo bem embalado
positive,nota entrega rápida produto gostei
positive,chego rápido recomendo
positive,recebi produto dois dias tudo esperado satisfeita loja
negative,momento não recebi produto
positive,reclamações
negative,não entraram contato apenas cancelaram pedido
positive,entrega rápida tudo conformes ágil
neutral,panelas sao bonitas mesma cor foto porem achei pequenas mas sa boas
positive,ainda não testei produto mas chegou dentro prazo
positive,surpreendeu entrega rapida parabéns
positive,cartucho funcionando bem cores firmes ja comprei outras lojas acabei perdendo dinheiro
positive,bom serviço entrega
positive,produto entregue antes prazo previsto
negative,entregaram coqueteleira diferente anuncio tudo suja empoeirada vaza monte whey durante mistura
positive,amei
positive,loja boa entrega prazo produto chegou antes prazo
positive,ótima desde compra entrega super rápida vc consegue acompanhar tudo
neutral,não recebi tapete mas marcando entregue
negative,dessa vez ainda não recebi pedido demorado mês aguardando
positive,realmente kit bonito acabamento pincéis parece bom super satisfeita
negative,loja demorou tempo inaceitável sequer postar produto
negative,previsão dia hoje ainda não recebi produto
positive,bom chegou antes prazo previsto
negative,produto codigo correto mas impressora não reconhece toner
negative,não recebi produto perdi confiança compras lannister pois vejo parceiros não confiáveis
positive,top rápido
positive,deveriam abrir opções rastreamento pois informado prazo entrega não saber compra entrega antes previsto
negative,gostei produto mas fica casando muita água tá outros ñ ficava casando
positive,nota lannister targaryen
positive,sempre comprei lannister nunca nenhum problema entrega informações compra etc nota
negative,pedido veio incompleto ficou faltando item
positive,produto excelente qualidade compra chegou data prevista
negative,produto não entregue devo proceder
positive,produto entregue prazo bom
neutral,produto veio frascos elementos químicos vazios não sei vazou armazenamento transporte
positive,sempre compro lannister
positive,termômetro fácil usar preciso apenas bateria bem diferente reposição deve difícil
positive,entregaram umas capas travesseiros não pedido edigley ferreira
positive,legal
positive,recebido prazo bom estado ótima compra
positive,chegou bem antes prazo ótimo produto
positive,chegou perfeito estado antes prazo
positive,loja rápida produto chegou prazo demonstrou seriedade atendimento
positive,parabens superou expectativas
negative,ainda não recebi produto
neutral,site lannister ainda constavque produto transportadora
negative,cancelei produto fez dias ainda não recebi dinheiro volta ainda esperando dinheiro caí conta combinado loja
positive,satisfeito
positive,ótima qualidade maior esperava macio entrega rápida recomendo
neutral,difícil comunicação
positive,produto chegou bem antes data prevista bem embalado organizador excelente espaçoso comporta bem brinquedos adorei
neutral,tentando ver parceiros stark continuem compromissos clientes pontualidade
positive,chegou relativamente rápido antes prazo previsto produto lindo condizente foto veio perfeito estado bem embalado parabéns cuidado carinho cliente
positive,ótimo produto
positive,chegou rapido otima qualidade
positive,chegou antes prazo estipulado bem embalado
positive,prazo entrega dias úteis chegou dias bom
positive,atendeu expectativas
positive,tudo saiu conforme combinado obrigado
positive,bom kit suplemento
positive,produto bom resistente entrega antes prazo
positive,objetivo prático eficaz
negative,produto veio cd instalação quebrado vcs vão mandar outro
positive,recebi produto antes prazo excelente mercadoria
positive,chegou antes previsto
negative,pedi vidros l forth cobre forth enxofre chegou agora vidro forth cobre
neutral,kkkkkkkkkkkkkk
negative,solicitei produto veio outro entrei contato central aguardando código reenviar correio
positive,recomendo outras pessoas excelente
neutral,iria comprar voces vi quanto produtos frete dobra triplica
neutral,produto entregue parcialmente falta produto consta status entregue
negative,boa tarde não recebi pétalas somente adesivo parede faço
positive,excelente vai útil obrigado
positive,entrega jato vendedor correto
positive,gostei entregue prazo acertado
positive,entrega rápida produtos corretos
negative,não entendendo q desta avaliação cadê produto
positive,preço bom compra fácil
positive,recebi bem antes prazo
positive,recomendo
neutral,produto chegou prazo problema veio frente capa danificado faltado couro embaixo sinal falam couro mas não ruim não recomendo loja
negative,produto não chegou hoje
positive,recomendo produto ótima qualidade
positive,primeira vez comprei ligaram pra saber sabor queria vez não escolher ato compra dessa vez não ligaram mandaram baunilha não tão bom chocolat
positive,produto chegou rápido ótima qualidade
positive,qualidade otima
positive,produto entregue dentro prazo estabelecido
positive,gostei produto bem embalado super recomendo
negative,fiz instalação dizia manual porém aparelho não funcionou
positive,cor recebida diferente escolhida mas combinou composição quarto
positive,encomenda chegou certinha antes prazo previsto recomendo
positive,produto entregue antes prazo estipulado recomendo compra
positive,ótimo produto entrega antes previsto certamente procurarei loja futuro outras compras
negative,presente data não recebi produto mas informei mail sac vcs aguardando posição
positive,excelente produto recomendo
positive,rápido produto qualidade
positive,entrega chegou bem antes prazo estipulado obrigada
negative,não veio duas mercadorias pedidas apenas unidades entregue
negative,chegou apenas nota fiscal
positive,greve caminhão demorou pouco mas perfeito
positive,produto bom mas achei edredon bem grosso
positive,produto bom conforme anúncio qualidade boa
positive,comprei fim novembro previsão chegou
neutral,não fiquei satisfeita c entrega disseram q ocorrência nao ter ninguém casa q não verdade q ir correio retirar produto sendo q paguei frete
positive,chegou antes prazo dado produto ótima qualidade
positive,otimo esperava
positive,nóta tudo perfeito produto bem embalado
negative,entregador poderia outra empresa pois comprei outros produtos nessa loja entrega rápida segura pois feita empresa dava atenção cliente
negative,entregaram agora produto unidade falta entregar outro produto comprei unidades agora não chegou outro filtro preocupado
negative,comprei produtos máscara hulk mochila hulk somente máscara entregue gostaria saber proceder
positive,ótimo produto ótimo atendimento entrega
negative,produto veio bolhas uns cabelos pretos enfim quero devolver preciso código postagem
positive,recebi mas compreo produto errado queria ver poder trocar obrigado
positive,funcionou perfeitamente ar portatil springer btus
positive,atendeu espectativas
positive,amei cortina linda chegou bem antes prazo
positive,esperava produto cobre leito fino boa qualidade
positive,satisfeito
negative,cancelamento aberto prazo h acabou não obtive retorno sinto lesada produto falso não arriscarei saúde produto duvidoso aguardo retorno urgente
negative,não recebi produto ainda colocaram entregue falta respeito grande quero dinheiro volta
positive,agradeço atenção td perfeito
positive,produto chegou prazo combinado problemas avarias eficiente
positive,produto chegou antes prazo rastreamento sempre atualizado
neutral,pedido veio bem antes prazo
positive,produto entregue prazo mas prazo poderia menos
positive,satisfeita pedidos recebi antes prazo entrega então recomendo loja sim
positive,produto bom resistente fácil manusear
negative,cartucho veio queimado não conseguem resolver problema
positive,chegou rapido bem antes prazo determinado
positive,produto chegou perfeito antes prazo
positive,chegou prazo produto correto
positive,produto entregue perfeitamente antes prazo informado
neutral,comprei vários produtos alguns ótimo mas alguns problemas
positive,obrigado entrega satisfeita produto tudo antes prazo
negative,comprei veio
positive,entrega rapida produto correto
positive,produto exatamente pedido testado todos perfeito funcionamento
negative,utilizo site amaericanas muitos anos sempre bom retorno vezes demora mas produtos chegam sempre embalados mas dessa vez não recebi avaliação negativa
positive,cumpro promete funciona perfeitamente gol g v consumo combustível instantâneo funciona perfeitamente
positive,produto entregue antes prazo
negative,olá queixa não entrega residência buscar correio produto devolvido ainda nem sei fazer talvez telefonema ajudasse
negative,não entregou produto cor solicitada
positive,produto carteira somente poderia avaliado algum tempo uso entanto produto bem acabado couro conforme especificado empresa
positive,nota gostei produto material qualidade bonito design contar pontualidade entrega obs chegou bem antes estimativa data super recomendo
positive,amei produto chegou bem antes prazo entrega recomendo loja
negative,compra cancelada ter solicitado
positive,bom produto entregue antes prazo
negative,produto pra ter chegado dia não chegou ainda
positive,havia comprado nesse site compra efetuada exito entregue dentro tempo produto excelente qualidade recomendo todos confiança segurança fazer compras
positive,satisfeito aquisição produto ainda não instalei
positive,ótimo chegou super rápido produto boa qualidade
positive,produto chegou prazo perfeitas condições
positive,produto chegou antes combinado perfeito estado
positive,mochila otimo tamanho filho anos boa qualidade tamanho ideal
negative,gosto comprar sempre aí vez preços salgados kkk
negative,barato porém duvidoso
negative,segundo produto problema outro cancelado quero saber vou receber não não quero dinheiro volta correção
negative,ate agora produto não entregue
positive,recebido conforme anunciado preço bem atrativo produto original
positive,ja fiz outras compras baratheon sempre recebi tudo prazo ordem fiquem deus
positive,produto entregue antes prazo apenas questão frete ficou caro tratar produto simples
positive,parabéns atendimento
positive,problemas pagamento cartão internacional gostaria esto não aconteciera
positive,satisfeita cm entrega
positive,tudo dez
negative,aguardo entrega produto devolução valor comprovado parcelas primeira paga cartão crédito
positive,gostei produto prático amei
negative,fraquinha toalhas não gostei nao recomendo
negative,produto chegou corretamente porém demora demasiada obrigado
positive,maioridade cameras espiã baixo r lixo raramente funcionam qualidade péssima video som investi pouco aqui fiquei impressionado imagem som recomendo
negative,único problema descrição propaganda produto indicando capacidade w mas etiqueta descrição produto recebido embalagem indicação w
positive,chegou prazo nenhuma discrepância
positive,entrega rápida antes prazo previsto produto superou expectativas recomendo
positive,entrega rápida antes prazo
negative,deram dois prazos entrega não cumprido nenhum dois
positive,recomendo melhor preço respeito prazo entrega
positive,estraga rápida produto bom adorei excelente
negative,comprei canetas recebi somente nf emitida paga constando duas canetas ainda aguardando retorno ocorreu
positive,amei produto lindo otima qualidade
positive,produto recebido
positive,produto correto conforme descrição site entregue antes previsto
positive,vendedor cumpriu prometeu além disso produto adquirido bonito boa qualidade
positive,bom produto
positive,chegou perfeito obrigada
positive,chegou dentro prazo produto igual site
neutral,chegou dentro prazo entrega
positive,gostei atendimento mercadoria chegou antes prazo combinado
positive,tudo maravilhoso
positive,bom atendimento serviço prestado
positive,adorei recomendo
positive,produto chegou antes prazo satisfeita
positive,gostei
positive,produto entregue antes data programada excelente
positive,produto veio corretamente recomendo loja
neutral,satisfeito ok
positive,atrasaram dia entrega
positive,vcs sempre ótimos sempre compro continue assim
positive,parece q vc pôs lona parede mas cumpre função impedir entrar luz
negative,comprei copos recebi apenas copo favor solicito entrega demais copos fiz compra efetuei pagamento
negative,comprei dermacol foto produto aparece mini bisnaga q dá entender q amostra produto recebi base s rótulo especificação dentro recipiente redondo não dermacol
neutral,solicitei capa pelicula vidro xperia xa capa veio correta porém pelicula veio errada menor estreita aguardando reembolso
positive,produto atende expectativas
negative,pedido dois pneus entregue aguardando prazo mas gostaria saber assim chega outro pois recebi aguardo retorno obrigada
negative,ainda esperando pedido
negative,produto não aparece foto veio molhado cheiro forte não compraria novamente menos indicaria
negative,película pacote não adequada aparelho indicado menor tela não acompanha curvatura mesma podendo acumular particulados bordas capa serviu normalmente
positive,comprei aquecedores não sei porque compra dividida duas entregas pois feito pagamento agora entregue portanto confirmo entrega
positive,produto entregue prazo
negative,fiz comprar produto roubado entrei contato ninguém resolveu nada aguardo resposta ate hoje
positive,recebi mochila antes prazo estabelecido produto excelente segue exatamente anúncio
positive,amei
positive,excelente site melhor preço entrega super rápida bem antes prazo previsto volto sempre aqui
negative,não recebi produtô data entrega gostaria saber aconteceu produto
positive,produto excelente entregue antes prazo recomendo
negative,recebi produto falsificado esperando retorno email mandei
positive,bom atendimento recomendado satisfeito
positive,compra satisfatória
negative,produto ainda não chegou
negative,ola reclamacao enquanto tamanho relogio achei pequeno
negative,bom produto
neutral,veio defeito pintura qualidade produto tb não mas preço imaginava
negative,comprei chegou
negative,nao gostei identificação par toalha toalha banho otalha rosto rendada outro par identificado
positive,obrigada produto chegou bem antes prazo adorei designer tesouras perfeitas amei
negative,loja disse não mercadoria estoque após semanas pedido simplesmente cancelou pedido
negative,cadeira veio faltando peças parafusos acento tampinhas tubos laterais
positive,loja cumpri prazo
negative,comprei dois itens entregaram apenas item cartão lançado itens aguardando contato loja
positive,comprei p dar presente noivos amaram ñ recebi prazo pq correios greve recomendo produto loja parceira parabens lannister respeitar consumidor
positive,bem afiada cortou bem
positive,produto ok porém demora entregar parece tá vindo china
neutral,faltou manual instrução algumas peças saber fazer
neutral,produto entregue dentro prazo td certo
positive,entrega correta antes prazo acertado
positive,gostei bonita mas cabelo embaraçado
positive,recebi relógio antes prazo anunciado site produto veio bem embalado recomendo parceiro
positive,comprometimento cliente
positive,amei produto entregou antes prazo feliz filhinha meses amou
positive,vidro bom produto chegou antes prazo
positive,compra rápida fiz pedido todos procedimentos rápidos recebi produto certinho antes prazo
negative,produto comprado veio incompleto fiz reclamação momento não recebi qualquer retorno
positive,produto maravilhoso
positive,so nao recebi casa tudo bem deixaram mercadoria correios perto onde moro
positive,produto qualidade entregue dentro prazo
negative,produto ainda não entregue extrapolou todas datas previstas atendimento
negative,ficou faltando cortina veio juvenil
negative,comprei dois transformadores recebi apenas não confirmo recebimento quero dinheiro volta não recomendo loja pra ninguém cuidado
negative,comprei colcha chenille jolitex casal azul outra marrom retirei pacote correio abrir casa veio marrom finalizado valor frete
negative,solicitei cancelamento aguardando retorno não entendi porque enviando avaliação
negative,ainda não recebi
positive,produto boa qualidade esperado entrega ocorreu prazo
positive,produto entregue prazo conforme anunciado
negative,base cadeira veio quebrada podem mandar outra base fiquei aborrecido nem quero comprar internet
negative,pendente madeira veio outro não veio junto correio existe número rastreamento item inclusive nota fiscal pedido dois itens
negative,comprei produto entregaram outro ainda escreveram nota embalagem nova
neutral,pintura bem feia esperava produto
positive,compro lannister anos
negative,desde dia produto sede correios jacarepaguá não entregue local dia nenhum funcionário soube explicar nota zero p serviço
positive,vendedor exelente cumpre promete produto chegou antes prazo
positive,produto superou expectativa chegou antes prazo veio nenhum defeito recomendo
positive,aguardo solução protocolo sobre valor compra divergente empresa stark valor compra cobrado vista r fatura cobrado r
negative,pedi fechadura chave tetra recebichave simples
neutral,gostei produto sim ótimo parece cabelo natural
negative,não posso avaliar pois ainda não recebi produto
positive,peça bem feita robusta bonita
positive,lojas lannister excelente loja sempre cumpre divulga satisfeito produto parabenizo loja profissionalismo dessa empresa obrigado
positive,ótimos produtos
negative,produto veio defeito
positive,bom super indico
positive,solicitei devolução pedido devido ter feito outra compra mas tudo veio certinho outro pedido
positive,recebi produto antes prazo
positive,tudo certo graças deus stark lojas lannister sempre dando banho competencia todos sentidos obrigado assim promoçoes ai comprar produtos
positive,veio antes esperava recomento todos
negative,pedido veio somente produto faltando outro
positive,atendimento além expectativa
positive,entrega produto negociação dentro estipulado recomendo
negative,prazo entrega acabou produto não chegou
negative,comprei produto não entregue toda vez entro contato garantem retorno horas dia nunca retornam entrega ja dias atraso
neutral,hora compra após colocar cartão crédito confirmar vai tela escrita inglês parece erro segunda vez ocorre outra vez pensei não concluído compra fiz
neutral,segundo produto compro informam entrega produto ter sido entregue
positive,otimo preço rapida entrega recomendo
negative,não recebi produto não avaliar
negative,ainda recebi nada nem manda email pra falar vai atrasar vou ficar aguardando não chega segunda vou ter ligar pra vcs
positive,queria comprar duas camas achei frete absurdo frete caro camas antena deu pra comprar otimo
positive,produto entregue dentro prazo conforme anunciado satisfeito
positive,entrega super rapida antes prazo cuba linda veio td certinho melhor preço recomendo
positive,bem rápido entrega fiquei satisfeita
positive,custo beneficio excelente
positive,recebi certo transtorno primeira compra
positive,gostei produto veio site entrega rápida tô amando compra
negative,produtos solicitado nao entregue solicitação feita oculos controle apenas entregaram controle aguardo resposta
positive,excelente produto excelente loja
positive,parabéns chegou antes prazo
negative,produto entregue prazo correto cores mesmas fotos porém qualidade deixou desejar toalhas não felpudas diz propaganda não enxugam bem
positive,tudo esperado prazer comprar
negative,acho empresa precisa ter certeza entrega antes venda não sei voltarei usar site
positive,otimo produto entregue prazo recomendo
positive,recomendo produto
positive,produto qualidade entrega rápida
positive,produto veio medidas erradas lá informava tapete pro jimny parece tapete scania tão grande
positive,além ótimo produto prazo insuperável entrega dias
negative,comprei chegou outro porem bonito igual outro não precisou devolver
positive,chegou prazo qualidade
positive,produto bom recomendo
positive,obrigado produto bem satisfeito produto entregue praso
positive,gostei lancheira térmica material bom poderia maior
positive,sempre recebi produtos comprados bastante antecedência ótimo estado
neutral,achei pequeno relógio melhor postar foto pulso melhor ideia produto
positive,chegou bem antes informado
positive,bom recebi compra antes previa
positive,produto correto entregue prazo
negative,entrei contato targaryen email falaram nao vendem kit higiene pra mim entra contato lannister pq so vendem bolsa
negative,comprei proteina isolada black skull site recebi proteina concentrada marca produto diferente proteina isolada não contém carboidratos concentrada sim enganado
neutral,satisfeita
neutral,loja enviou produto dentro prazo devidamente embalada avarias entretanto anúncio não informação bateria usada
negative,nao recebi produto nem resposta empresa
positive,produto veio antes previsto gostei porem esperava maior tamanho leitor bem pequeno
positive,veio separados mas tudo ok satisfeita
positive,super rápido comprar receber produto conforme foto
positive,produto bom chegou prazo
positive,comunico recebi produto haviam cancelado pois realmente comprei seguindo passos entrega chegou dia anterior quero saber procedimento devolução
negative,cansei cobrar não chegou rastreio correio diz não chegou cidade
negative,ainda não recebi produto claro paguei
positive,feliz atendimento rapidez obrigado
positive,produto conforme anunciado
neutral,entrega atrasada
positive,excelente produto excelente qualidade nota
positive,adorei produto
positive,rápido entrega parabéns
positive,entrega rápida the flash
positive,tdo certo entrega
neutral,achávamos iriamos receber lixeira idêntica foto sat venda recebemos outra outro modelo cor
negative,simplesmente produto não chegou vou cancelar compra
positive,boa entrega antes marcado
negative,caro comprando itens vai ficando caro
positive,chegou dia prazo mas perfeito estado
negative,produto nao entregue
positive,produto perfeito ótima qualidade
positive,feliz produto entrega rápida
positive,entrega prazo problema boa compra
neutral,produto chegou rápido embora modelo controle não anunciado sim similar talvez genérico inclusive nf menciona ct toshiba recebido modelo crs
positive,mesa adequada propõe facilitando uso notebook qualquer cômodo casa embora simples sólida bonita ponto negativo entrega correios demorou q previsto
positive,produto qualdade
neutral,ainda não recebi compra
positive,favor reenviar pois demorei buscar correios ai correios renviou agencia origem
positive,joia pois chegou bem antes data prevista
negative,produto chegou incompleto comprei tres colchas so chegou
positive,bolsas lindas parecem resistentes vou amar usar bebê recomendo compra certeza
positive,dentro anunciado produto entrega qualidade
negative,devolvi cartucho pois comprei produto recebi outro empresa recebeu produto peço lannister informar realizado estorno cartão crédito
positive,cadeira ótima relaxar
positive,bom perfeito
positive,satisfeita produto condiz expectativa entrega rápida realmente feliz
negative,enviei comunicado lannister sobre produto entregue faltando pedidos agora aguardo retorno vou acionar policia caso não enviada resposta sobre regul
positive,excelente material chegou antes previsto
positive,recebi corretamente
positive,entrega extremamente rápida satisfeito serviço
negative,produto não original dá motorola
neutral,nada original
positive,entrega rápida ótimo produto
positive,relógio lindo perfeito entrega super rápida parabéns
positive,excelente profissionais atendimento cliente vcs melhores obrigada atenção
positive,produto entregue dentro prazo
positive,recebi produto prazo dentro expectativas
positive,custo beneficio bom
positive,bom entregue tempo certo
negative,comentários
positive,chegar exatamente prazo ganhou conceito parabéns
negative,correio buscar produto derem produto outro disseram não lá buscar hoje disseram mandaram volta prazo quero frete volta pois vou justica
positive,ótimo produto entregue antes prazo satisfeito
neutral,frete deveria cobrado quantidade total adquirida não cada produto comprado caso comprei refis filtro paguei fretes sendo poderia ter pago proporcional
positive,bom mas frete poderia conta produto não volumoso nem pesado mas qualquer maneira contente ter recebido mercadoria
positive,amei produto
positive,aparelho não veio acompanhado cabo antena externa
positive,cadastro rápido excelente produto prazo entrega antes esperado
positive,ouve demora grande parte correios entregar produto pois greve enfim acabou tudo certo recebi produto certinho recomendo loja todos cliente
negative,agora não consegui fazer troço funcionar testei vários programas nada não reconhece carro santana
neutral,comprei staik gel sopeira recebi staik gel enquanto
positive,lannister lista top quase tudo comprei problemas recomendo todos pois durante anos nunca problemas
negative,comprei varal chao recebi modelo custa bem barato empresa nao retorna mail nao atende telefone stark nao responsabilisa transçao feita site
positive,loja boa
positive,chegou bem rápido produto qualidade relação preço
negative,boa tarde efetuada compra cartuchos porém recebemos efetuei reclamação nada feito favor verificar urgente pagamento não cancelado
neutral,não recebi pois viagem produto ficou poucos dias correio entrei contato lannister mas agora não reenviaram
positive,torneira linda não sei funcionamento pois ainda não instalei
positive,entrega antes combinado produlto alta qualidade
negative,pedi luminárias recebi momento somente reclamei entregador porém não recebi ainda luminária faltando
positive,adorei chegou tudo conforme pedido dentro prazo obrigado
positive,bom produto rápida entrega
negative,produto ainda não entregue soubesse loja usava correios nem comprado pois correios dificultando esclarecimentos
negative,não chegou
negative,fiz compra loja paguei frete receber produto casa não ter pegar correios quisesse buscar produto compraria loja física
positive,bom produto antes prazo entrega excelente
positive,ótimo produto rápida entrega super recomendo
positive,recebido antes prazo perfeitas condições
negative,enviaram produto errado diferente anuncio quero troca produto aguardo resposta
negative,comprei não recebi encomenda pior não sendo informada porquê não ter recebido produto ainda péssimo atendimento não comprarei jamais
positive,ótimo bom gostei atenção produto
positive,adorei toalha bonita chegou antes prazo
negative,produto veio faltando acessórios ate agora não recebi
negative,progressiva chegou violada além não lacrada veio quantidade produto menos faltando menos ml
positive,loja séria compromissos entrega rápida excelente loja comprar
negative,loja enviou produto errado comprei produto quase r reais enviaram borracha relógio plástico
positive,produto excelente bom preço rapidez entrega satisfeito compra
positive,produto perfeito estado entrega antes prazo recomendo
positive,excelente produto entrega
positive,produto exatamente imaginei lindo
positive,bom goste
positive,tudo conformes tudo bom preço prazo qualidade d compre
negative,não esperava lannister associasse empresas não cumprem pontualidade compromisso feito profundamente desapontada
positive,gostei pontualidade
positive,produto ótimo esperado embalado bem entrega antes prazo
negative,não recebi nada
negative,não gostei fina não cara mas preço compro melhor
negative,correios desde
negative,ainda não recebi produto enviei mensagem loja sobre tal situação aguardando resposta sempre comprei loja nunca problema espero agora resolvam situação
positive,produtos acordo descrição cerdas pincéis super macias amei
positive,cancelei compra
positive,produto perfeito acordo descrito site boa qualidade entrega antes prazo previsto
positive,comecei tomar agora espero resultado cfe pesquisas internet
negative,compro shopping anos nunca atrasaram pedido contrário sempre chega antes prazo dessa vez não chegou agora
positive,gostaria ter certeza produto original senti falta selo importadora selo holográfico além fixacao péssima
positive,sempre stark entrega bem rápido antes prazo previsto recomendo sempre
positive,tudo perfeito produto igual site chegou antes prazo recomendo
negative,paguei produto valia três vezes entregaram fiquei super irritada insatisfeita não recorri devido mão obra daria devolução
neutral,acho deve culpa correios
positive,ótima loja recomendo todos
positive,produto entregue dentro prazo porém somente após receber produto identifiquei confundi modelo
neutral,veio sacolinha mó feia caixa
positive,filha adorou mochila super recomendo
positive,satisfeito produto entrega achei frete caro
negative,comprei dia ate hj dia nao recebi correios discaradamente diz q veio aq vezes so transtorno compra
positive,produto veio rápido aguardando próxima semana obrigado
neutral,faltou manual
positive,chegou antes prazo marcado nenhum problema
negative,não recomendo pois produto não acordo descrição site devido falta tempo excesso burocracia troca acabei não trocando fiquei prejuízo
positive,ótimo produto adorei chegou antes data prevista entrega porém ir buscar correios comunicaram dia antes produtor retornar fabricante
positive,entrega prazo produto embalagem perfeita
positive,produto bom atendeu espectativas
neutral,bom produto chegou antes data prevista bom
negative,recebi apenas produtos comprei
positive,avaliação acima expressa opinião
positive,produtos embalagem intecta
neutral,cautela indicacao recebi produto faltando item manual instrucao cabo forca nao compativel orificio aparelho carrega lo devido grosso encaixe
positive,super agil seguro compra recomendo pois produto qualidade
positive,excelente processo compra entrega produto recomendo
positive,produto chegou dentro prazo exatamente anunciado
positive,nadadeira top super macia procurava
negative,mandaram outro produto lugar comprei comprei bumbleebe mandaram batgirl filha aguardava boneca ansiosa pois atrás tempo
positive,excelente prestação serviços recomendado
negative,bom
negative,tanque água não trava posto sobre base umidificador fica solto vem alça cima vc pega vem metade aparelho n tomar cuidado derruba água
positive,produto qualidade conforme anunciado pedido entregue dias antes data inicial maravilha
positive,rápido recebi encomenda
positive,recebi produto bem antes dia previsto entrega satisfeita demais produto loja
positive,entregou produto prazo recomendo
positive,noiva adoramos grande lindo
positive,tudo perfeito
positive,produto entregue prazo td certo
negative,produto não foto fiquei produto porque gostei cor senti enganada pois pedi produto chegou outro
neutral,bom produto atendeu expectativas entrega rápida
positive,excelente tudo
positive,lannister compra segura web
neutral,objeto questão q esperava embalagem poderia pouco melhor deveria metal final presentear pessoa embalagem simples
positive,entrega rápida antes prazo
positive,atendeu plenamente expectativas
negative,pedido consta entregue mas verdade não loja não respondeu questionamento sobre não entrega
positive,produto atendeu todas expectativas
neutral,porem não recebi produtos ainda
positive,consumidor satisfeito
negative,fiz compra caixas recebi apenas caixas
positive,veio prazo prazo curto ficaria excelente
negative,ate agora nao recebi
negative,não sei pra entregue produto dia abril hoje dia não entregaram ainda
positive,produto excelente chegou dentro prozo super recomendo
positive,produto acordo descrição
positive,ótima vendedor bom obg
positive,produto ótimo entrega super rápida super recomendo
positive,adoro comprar lannister entrega sempre prazo produtos qualidade
positive,produto bom recomendo
positive,rápidos entrega parabéns
positive,produto entregue corretamente dentro prazo bom atendimento
positive,produto bonito resistente recomendo
negative,produto entregue faltando peça entrei contato dois mails através mails lannister aguardando solução agora nada
positive,única coisa não gostei produto venho nota fiscal
positive,acho não recebi causa greve caminhoneiros
positive,parece tudo ok chegou dentro prazo
positive,produto exatamente igual anunciado chegou bem antes prazo previsto recomendo todos
negative,não entendo acontecendo parecia compra produto bem simples
positive,vendedor bom recebi antes prazo
positive,produto entregue antes prazo determinado fornecedor
positive,produto ótimo faz algum tempo uso agora loja excelente todos sentidos
positive,bom acabamento produto atende expectativa so não gostei atendimento empresa consumidor demorou dias dar retorno sobre duvida
positive,entrega rápida acertada
positive,serviços todos ótimos porém achei fecho pouco frágil recomendo
positive,loja utiliza correios envio entrega prevista realizada antes previsto parabéns utilizar correios excelente
negative,unidades prometido recebi apenas unidades
positive,veio perfeita condição antes prazo
negative,ainda não recebi produto
positive,produto veio certo dentro prazo entrega
neutral,comprei capa pra guitarra veio errado veio pequena demais guitarra nem cabia
positive,entrega rápida tudo certo
positive,recebi prazo corretamente facilidade comprar pagar
positive,entrega rápida porém achei qualidade inferior anunciado portanto preço achei caro conta qualidade
positive,entrega rapida produto bem embalado
positive,sempre compro recebo tudo certinho super recomendo
positive,entregou voltagem diferente compra
negative,não recebi produto atualizaram rastreio prazo entrega acabar correio mentiu dizendo neguei receber quero dinheiro volta inclusive frete
neutral,cortina boa mas simples
positive,cortina linda material maleavel surpreendi
negative,não gostei qualidade produto frágil contar vários problemas entrega prazo dias chegou quase mês ninguém atualizava sobre atraso
positive,recebi produtos dentro prazo obrigado
negative,recebi certo
negative,faltando produto
negative,trinta dias pra receber produto ainda não chegaram todos vcs deram dias falta compromisso
positive,bem utilizado produções audiovisuais
positive,entrega rápida pra configurar wifi repeater complicado auxílio técnico
positive,tentativas entrega mas não encontrava momento receber aguardo orientação proceder receber produto cancelar compra
positive,produtos ótimos entrega rápida super recomendo
positive,produto bom pra lavar carro não gasto água lavo rápido
positive,satisfeito produtos entrega
negative,descrição produto não confere disseram pintura eletrostática papel
positive,recomento entrega pontual
positive,filho ficou feliz
negative,ruim
negative,relógio não original foto anuncio não batia recebi produto pessima qualidade
positive,gostei
positive,rápido entrega kit capinha peliluca perfeito parabéns
positive,produto conforme anunciado tudo certo chegou antes previsto
negative,produto vendido falsificado imagem produto embaçada pra não dar pra perceber claras diferenças original
neutral,embalagem não vieram parafusos fixação assento encosto cadeira parafusos casa então não problema grave comprarei outro produto ver problema pontual
positive,transação ocorreu dentro proposta
positive,produto chegou antes prazo ainda não testei
positive,bom produto entrega melhor ainda
positive,sobre produto n bom pq n saí coloca escova potinho cheio pasta q espremer pasta p sair creme dental
negative,bom recebi produto errado voltagem errada fim enganado pois comprei produto recebi maleta
negative,comprei produto chegou veio cor rosa invez cor vermelha foto pedi cancelamento produto ja mes ate agora nada reembolso demorado
negative,não entregaram itens comprados
negative,produto quebrado
neutral,entrega poderia rápida
positive,chegou antes previsto super recomendo
negative,peço gentileza vcs agilize entrega deste produto
positive,recebi antes prqzo
positive,excelente protudo ótima entrega
positive,gostei entrega rápido
neutral,não cumpre prazo
negative,custa
neutral,recebi produto mas aguardando coleta devolução não gostei produto
positive,chegou antes prazo perfeitas condições parabéns
positive,vlw fi
neutral,faltou especificacaoes precisas sobre bolsos laterais
